# 2週間テスト用のテーマ一覧。1行1本、`ジャンル<TAB>テーマ`。
# `python3 tools/make_video.py --batch data/themes.tsv` でまとめて生成する。
#
# 3ジャンルは「何で勝つか」を比較するために選んである。増やすと1ジャンルあたりの
# 本数が減って判定できないので3つで固定する。
#
#   money        … お金・経費・会社   → Phase 3で「実在の経営者」が効く。信用移行が最大
#   relationship … 人間関係・印象・会話 → 母数最大。モテ文脈に最も近い
#   trivia       … 雑学・由来          → 拡散力。ただし人への信用移行は弱い
#
# テーマ選びの基準:
#   1. 検索では出てこない一次情報か、切り口が新しいこと（横流しは伸びない）
#   2. 15秒で結論まで言い切れること
#   3. moneyは「実際に会社を回している人しか言えないこと」に寄せる
#
# 判定は保存率・完走率・コメント率＋プロフィールアクセス率で行う（docs/06・docs/07）。

money	経費で落ちるのに9割が申告してないもの
money	領収書は7年、ではレシートは何年か
money	会社にすると税金はいくら変わるのか
money	一人社長の社会保険料のリアルな金額

relationship	初対面で感じがいい人がやっている3つのこと
relationship	会話が続かない人がしている質問の形
relationship	角を立てずに断れる人の最初の一言
relationship	名前を呼ぶだけで印象が変わる理由

trivia	日本の会社が4月始まりになった理由
trivia	ハンコ文化がなくならない本当の理由
trivia	お疲れ様はいつから挨拶になったのか
trivia	名刺を両手で渡すのは日本だけなのか
